frame,track_id,x1,y1,x2,y2
70,18,54,144,168,256
70,19,440,95,496,177
70,20,335,118,436,222
70,21,439,127,494,179
71,1,441,167,520,299
71,2,501,202,573,325
71,3,93,33,141,89
71,4,249,115,316,180
71,5,251,237,339,330
71,6,350,117,421,231
71,7,283,74,324,134
71,8,294,31,333,75
71,9,244,158,314,241
71,11,167,70,213,149
71,18,54,144,168,255
71,19,422,71,472,144
71,20,334,118,436,223
71,21,439,127,495,179
72,1,442,167,520,297
72,2,501,202,573,325
72,3,93,33,141,89
72,4,250,115,316,178
72,5,252,237,338,330
72,6,350,117,421,231
72,7,283,74,324,134
72,8,294,31,333,75
72,9,244,158,314,241
72,11,167,70,213,149
72,18,54,144,168,255
72,19,420,69,471,142
72,20,334,118,437,224
72,21,439,127,495,179
73,1,442,168,520,298
73,2,501,202,573,325
73,3,94,33,141,89
73,4,250,115,316,178
73,5,252,237,338,329
73,6,350,117,421,231
73,7,283,74,324,134
73,8,294,32,334,75
73,9,244,157,314,241
73,11,167,70,213,149
73,18,54,142,170,255
73,19,418,68,470,139
73,20,333,118,437,226
73,21,438,127,495,179
74,1,442,168,520,299
74,2,501,202,573,326
74,3,94,33,141,89
74,4,251,116,315,178
74,5,251,237,339,330
74,6,350,117,421,231
74,7,283,74,324,133
74,8,294,32,334,75
74,9,244,157,314,241
74,11,167,70,213,149
74,18,54,141,171,255
74,19,418,67,471,141
74,20,333,118,438,227
74,21,437,127,496,179
75,1,443,169,519,297
75,2,501,202,573,326
75,3,94,33,141,89
75,4,251,116,315,177
75,5,252,237,338,330
75,6,350,117,421,232
75,7,283,74,324,133
75,8,294,32,334,75
75,9,244,157,314,241
75,11,166,70,214,150
75,18,54,141,171,254
75,19,417,66,472,141
75,20,332,118,438,228
75,21,437,127,496,179
76,1,443,170,519,293
76,2,501,202,573,326
76,3,94,33,141,89
76,4,251,117,315,177
76,5,252,237,338,329
76,6,350,117,421,232
76,7,283,75,324,133
76,8,294,32,334,75
76,9,245,157,314,242
76,11,166,70,214,151
76,18,54,140,171,254
76,19,417,66,472,141
76,20,332,118,439,229
76,21,437,127,496,179
77,1,444,170,518,292
77,2,501,202,573,326
77,3,94,33,141,89
77,4,251,117,314,177
77,5,252,237,338,329
77,6,350,117,421,232
77,7,283,75,324,133
77,8,294,32,334,75
77,9,245,157,314,242
77,11,166,69,214,151
77,18,55,140,172,254
77,19,416,66,472,142
77,20,331,118,440,231
77,21,436,127,496,179
78,1,444,170,519,292
78,2,501,202,572,326
78,3,94,33,141,89
78,4,252,118,314,177
78,5,252,237,338,328
78,6,350,117,421,232
78,7,283,75,324,133
78,8,294,32,334,75
78,9,244,157,314,242
78,11,166,70,214,151
78,18,54,141,171,255
78,19,417,66,473,142
78,20,331,118,440,232
78,21,437,127,497,179
79,1,444,171,519,292
79,2,501,202,572,325
79,3,94,33,141,89
79,4,252,118,314,177
79,5,252,237,338,328
79,6,350,117,421,232
79,7,283,75,324,134
79,8,294,32,334,75
79,9,244,158,314,242
79,11,166,70,214,151
79,18,54,141,171,255
79,19,416,67,473,142
79,20,330,118,441,233
79,21,437,127,497,179
80,1,444,171,520,292
80,2,501,202,572,324
80,3,94,33,141,89
80,4,252,118,314,177
80,5,252,237,338,329
80,6,351,117,420,231
80,7,283,75,324,134
80,8,294,32,334,75
80,9,244,158,314,242
80,11,166,70,214,151
80,18,53,141,170,255
80,19,417,69,472,142
80,20,330,119,441,234
80,21,437,127,497,179
80,24,282,74,325,167
81,1,444,171,520,293
81,2,501,202,572,324
81,3,94,33,141,89
81,4,253,119,313,177
81,5,253,237,337,325
81,6,351,117,420,231
81,7,281,75,325,136
81,8,293,32,334,75
81,9,244,158,314,242
81,11,166,70,214,151
81,18,53,141,170,255
81,19,417,68,472,141
81,20,329,119,442,235
81,21,437,127,497,179
81,24,282,74,324,167
82,1,443,172,519,293
82,2,501,202,572,323
82,3,94,33,141,89
82,4,253,119,313,176
82,5,252,237,338,327
82,6,351,117,420,231
82,7,282,74,324,135
82,8,293,32,333,75
82,9,244,158,314,242
82,11,166,70,214,151
82,18,53,141,170,255
82,19,416,68,471,140
82,20,328,119,442,237
82,21,436,127,497,179
82,24,282,74,324,166
83,1,443,172,519,292
83,2,501,202,572,323
83,3,94,33,141,89
83,4,253,120,313,176
83,5,252,237,338,328
83,6,351,117,420,230
83,7,282,74,324,134
83,8,292,32,333,75
83,9,244,158,314,242
83,11,166,70,214,151
83,18,53,141,170,255
83,19,416,67,470,139
83,20,328,119,443,238
83,21,436,127,498,179
83,24,282,74,324,166
84,1,442,172,520,294
84,2,501,202,572,323
84,3,94,33,141,89
84,4,254,120,312,176
84,5,252,237,338,328
84,6,351,117,420,230
84,7,282,74,324,134
84,8,291,32,332,76
84,9,244,158,314,242
84,11,166,70,214,151
84,18,53,141,170,255
84,19,415,67,469,138
84,21,436,127,498,179
84,24,282,74,324,165
85,1,443,173,519,290
85,2,501,202,572,323
85,3,94,33,141,89
85,4,254,121,312,176
85,5,252,237,338,328
85,6,351,117,420,230
85,7,282,74,324,134
85,8,292,32,333,76
85,9,244,158,314,242
85,11,166,70,214,151
85,18,53,141,170,255
85,19,415,66,468,137
85,21,436,127,498,179
85,24,282,73,324,166
86,1,443,173,519,289
86,2,501,202,572,322
86,3,94,33,141,89
86,4,254,121,312,176
86,5,252,237,338,328
86,6,351,117,420,230
86,7,282,74,324,134
86,8,293,33,334,76
86,9,244,158,314,241
86,11,166,70,214,151
86,18,53,141,170,255
86,19,414,65,468,136
86,21,436,127,498,179
86,24,282,73,324,166
87,1,443,173,519,288
87,2,501,202,571,321
87,3,95,33,141,89
87,4,255,122,311,176
87,5,252,237,338,328
87,6,351,117,420,230
87,7,282,74,324,133
87,8,289,33,334,81
87,9,244,158,314,241
87,11,165,70,215,151
87,18,53,141,170,255
87,19,414,65,467,135
87,21,436,127,498,180
87,24,281,72,324,166
88,1,443,174,518,288
88,2,501,202,571,321
